Position,Valeur maximum,Years,Crew
Défense,15.0,2017,hertha-bsc
Milieu,8.0,2017,hertha-bsc
Attaquant,12.0,2017,hertha-bsc
Total,15.0,2017,hertha-bsc
Gardien,2.0,2018,hertha-bsc
Défense,20.0,2018,hertha-bsc
Milieu,24.0,2018,hertha-bsc
Attaquant,18.0,2018,hertha-bsc
Total,24.0,2018,hertha-bsc
Gardien,0.8,2019,hertha-bsc
Défense,16.0,2019,hertha-bsc
Milieu,15.5,2019,hertha-bsc
Attaquant,21.5,2019,hertha-bsc
Total,21.5,2019,hertha-bsc
Gardien,5.0,2020,hertha-bsc
Défense,10.0,2020,hertha-bsc
Milieu,20.0,2020,hertha-bsc
Attaquant,30.0,2020,hertha-bsc
Total,30.0,2020,hertha-bsc
Gardien,2.5,2014,hamburger-sv
Défense,4.0,2014,hamburger-sv
Milieu,6.0,2014,hamburger-sv
Attaquant,8.0,2014,hamburger-sv
Total,8.0,2014,hamburger-sv
Gardien,3.0,2015,hamburger-sv
Défense,3.5,2015,hamburger-sv
Milieu,6.0,2015,hamburger-sv
Attaquant,6.0,2015,hamburger-sv
Total,6.0,2015,hamburger-sv
Gardien,2.0,2016,hamburger-sv
Défense,7.0,2016,hamburger-sv
Milieu,8.0,2016,hamburger-sv
Attaquant,4.5,2016,hamburger-sv
Total,8.0,2016,hamburger-sv
Gardien,2.5,2017,hamburger-sv
Défense,5.0,2017,hamburger-sv
Milieu,4.5,2017,hamburger-sv
Attaquant,7.5,2017,hamburger-sv
Total,7.5,2017,hamburger-sv
Gardien,3.0,2018,hamburger-sv
Défense,10.0,2018,hamburger-sv
Milieu,5.5,2018,hamburger-sv
Attaquant,4.0,2018,hamburger-sv
Total,22.0,2018,hamburger-sv
Gardien,1.0,2019,hamburger-sv
Défense,7.2,2019,hamburger-sv
Milieu,5.0,2019,hamburger-sv
Attaquant,2.3,2019,hamburger-sv
Total,7.2,2019,hamburger-sv
Gardien,0.9,2020,hamburger-sv
Défense,4.0,2020,hamburger-sv
Milieu,3.0,2020,hamburger-sv
Attaquant,1.6,2020,hamburger-sv
Total,4.0,2020,hamburger-sv
Gardien,4.5,2014,sc-freiburg
Défense,4.5,2014,sc-freiburg
Milieu,7.0,2014,sc-freiburg
Attaquant,2.5,2014,sc-freiburg
Total,7.0,2014,sc-freiburg
Gardien,1.0,2015,sc-freiburg
Défense,2.75,2015,sc-freiburg
Milieu,2.5,2015,sc-freiburg
Attaquant,3.5,2015,sc-freiburg
Total,3.5,2015,sc-freiburg
Gardien,4.0,2016,sc-freiburg
Défense,7.0,2016,sc-freiburg
Milieu,4.5,2016,sc-freiburg
Attaquant,10.0,2016,sc-freiburg
Total,15.0,2016,sc-freiburg
Gardien,6.0,2017,sc-freiburg
Défense,18.0,2017,sc-freiburg
Milieu,5.0,2017,sc-freiburg
Attaquant,12.0,2017,sc-freiburg
Total,18.0,2017,sc-freiburg
Gardien,9.0,2018,sc-freiburg
Défense,10.0,2018,sc-freiburg
Milieu,10.0,2018,sc-freiburg
Attaquant,9.0,2018,sc-freiburg
Total,12.0,2018,sc-freiburg
Gardien,7.0,2019,sc-freiburg
Défense,14.5,2019,sc-freiburg
Milieu,8.0,2019,sc-freiburg
Attaquant,6.5,2019,sc-freiburg
Total,16.0,2019,sc-freiburg
Gardien,8.0,2020,sc-freiburg
Défense,14.0,2020,sc-freiburg
Milieu,15.0,2020,sc-freiburg
Attaquant,13.0,2020,sc-freiburg
Total,15.0,2020,sc-freiburg
Gardien,1.0,2014,sc-paderborn-07
Défense,1.5,2014,sc-paderborn-07
Milieu,2.0,2014,sc-paderborn-07
Attaquant,2.5,2014,sc-paderborn-07
Total,2.5,2014,sc-paderborn-07
Gardien,0.5,2015,sc-paderborn-07
Défense,2.0,2015,sc-paderborn-07
Milieu,1.0,2015,sc-paderborn-07
Attaquant,1.3,2015,sc-paderborn-07
Total,2.0,2015,sc-paderborn-07
Gardien,0.2,2016,sc-paderborn-07
Défense,0.275,2016,sc-paderborn-07
Milieu,0.3,2016,sc-paderborn-07
Attaquant,0.35,2016,sc-paderborn-07
Total,0.35,2016,sc-paderborn-07
Gardien,0.35,2017,sc-paderborn-07
Défense,0.45,2017,sc-paderborn-07
Milieu,0.5,2017,sc-paderborn-07
Attaquant,1.5,2017,sc-paderborn-07
Total,1.5,2017,sc-paderborn-07
Gardien,1.0,2018,sc-paderborn-07
Défense,2.0,2018,sc-paderborn-07
Milieu,3.5,2018,sc-paderborn-07
Attaquant,2.5,2018,sc-paderborn-07
Total,3.5,2018,sc-paderborn-07
Gardien,1.2,2019,sc-paderborn-07
Défense,2.4,2019,sc-paderborn-07
Milieu,3.2,2019,sc-paderborn-07
Attaquant,1.6,2019,sc-paderborn-07
Total,3.2,2019,sc-paderborn-07
Gardien,0.7,2020,sc-paderborn-07
Défense,1.7,2020,sc-paderborn-07
Milieu,2.0,2020,sc-paderborn-07
Attaquant,2.5,2020,sc-paderborn-07
Total,2.5,2020,sc-paderborn-07
Gardien,0.8,2014,fc-ingolstadt-04
Défense,1.2,2014,fc-ingolstadt-04
Milieu,2.0,2014,fc-ingolstadt-04
Attaquant,1.7,2014,fc-ingolstadt-04
Total,2.0,2014,fc-ingolstadt-04
Gardien,1.25,2015,fc-ingolstadt-04
