id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
3477,Jimmy Briand,29,2076,3,3.3552,6,3.1069,38,25,2,0,F M S,Hannover 96,3,3.3552,8.6623,4.1464,2014
4262,Alban Meha,18,1218,3,2.4755,0,1.4702,61,21,1,0,M S,Paderborn,2,1.7177,2.8277,1.942,2014
4300,Tranquillo Barnetta,22,1061,3,2.5776,4,1.711,19,34,0,0,M S,Schalke 04,3,2.5776,4.4161,1.4193,2014
12,Mario Vrancic,30,2122,2,1.7019,1,4.0425,22,61,5,0,M S,Paderborn,2,1.7019,6.8316,4.1133,2014
46,Jairo Samperio,22,1104,2,0.6139,2,1.5483,12,10,2,0,F M S,Mainz 05,2,0.6139,3.214,1.9039,2014
63,Alexandru Maxim,25,1413,2,2.6506,6,4.4186,27,44,3,0,M S,VfB Stuttgart,2,2.6506,9.6393,5.0581,2014
93,Marcelo,34,3060,2,2.0656,0,0.2246,21,5,4,0,D,Hannover 96,2,2.0656,4.7197,4.5227,2014
96,Salif Sané,18,1437,2,0.795,0,0.414,21,8,8,0,D M S,Hannover 96,2,0.795,2.9563,2.6313,2014
111,Jannik Vestergaard,21,1434,2,1.1351,0,0.0,13,0,3,0,D M S,"Hoffenheim,Werder Bremen",2,1.1351,1.5672,0.981,2014
123,Assani Lukimya,22,1745,2,1.5051,2,1.1525,14,11,1,0,D S,Werder Bremen,2,1.5051,2.6123,2.1944,2014
128,Pawel Olkowski,27,2113,2,1.3539,2,2.1174,22,14,1,1,D M S,FC Cologne,2,1.3539,5.583,2.3769,2014
131,Jonas Hector,33,2970,2,1.0661,0,1.8659,20,29,2,0,D M,FC Cologne,2,1.0661,5.3566,3.8619,2014
152,Julian Draxler,15,768,2,2.0694,1,0.6216,23,11,1,1,M S,Schalke 04,2,2.0694,3.2201,1.2889,2014
161,Robin Knoche,27,2295,2,1.6237,0,1.2114,10,6,0,0,D S,Wolfsburg,2,1.6237,5.05,4.6749,2014
174,Aaron Hunt,15,413,2,1.1296,0,0.3233,9,12,1,0,M S,Wolfsburg,2,1.1296,3.5552,2.4915,2014
187,Christoph Kramer,30,2509,2,1.0562,1,2.1008,11,25,6,0,M S,Borussia M.Gladbach,2,1.0562,10.3857,8.5419,2014
197,Kyriakos Papadopoulos,14,831,2,1.786,1,0.1406,17,2,5,0,D M S,Bayer Leverkusen,2,1.786,0.545,0.4863,2014
202,Håvard Nordtveit,22,891,2,1.1136,0,0.4646,12,5,2,1,D M S,Borussia M.Gladbach,2,1.1136,1.8304,1.5911,2014
204,Granit Xhaka,30,2641,2,2.1664,1,1.5733,61,22,10,1,M,Borussia M.Gladbach,2,2.1664,16.4713,14.5968,2014
206,Oscar Wendt,26,2294,2,0.6815,1,0.9828,8,12,4,0,D S,Borussia M.Gladbach,2,0.6815,10.601,9.2303,2014
207,Ibrahima Traoré,24,835,2,1.6419,1,1.9676,23,21,3,0,M S,Borussia M.Gladbach,2,1.6419,5.003,2.3865,2014
216,Branimir Hrgota,17,700,2,2.8971,3,1.5613,15,12,0,0,F S,Borussia M.Gladbach,2,2.8971,5.5315,1.8944,2014
218,Philipp Lahm,20,1407,2,1.4807,2,2.1061,13,31,0,0,D M S,Bayern Munich,2,1.4807,12.2863,9.8881,2014
228,Sebastian Rode,22,951,2,1.0763,5,3.7373,13,24,2,0,D M S,Bayern Munich,2,1.0763,9.4621,7.1265,2014
