Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Défense,"23,60",71.5,7.15,2015, schalke 04
Milieu de terrain,"22,78",78.0,8.67,2015, schalke 04
Attaquant,"23,25",65.45,8.18,2015, schalke 04
Total,"23,91",225.2,7.04,2015, schalke 04
Gardien,"23,00",10.1,2.53,2016, schalke 04
Défense,"24,93",70.5,5.04,2016, schalke 04
Milieu de terrain,"22,13",80.1,10.01,2016, schalke 04
Attaquant,"23,62",56.55,4.35,2016, schalke 04
Total,"23,72",217.25,5.57,2016, schalke 04
Gardien,"26,67",13.7,4.57,2017, schalke 04
Défense,"27,11",65.5,7.28,2017, schalke 04
Milieu de terrain,"21,88",126.5,15.81,2017, schalke 04
Attaquant,"23,56",68.65,7.63,2017, schalke 04
Total,"24,52",274.35,9.46,2017, schalke 04
Gardien,"25,00",17.1,4.28,2018, schalke 04
Défense,"25,33",48.2,4.02,2018, schalke 04
Milieu de terrain,"23,10",89.5,8.95,2018, schalke 04
Attaquant,"23,31",66.5,5.12,2018, schalke 04
Total,"24,05",221.3,5.67,2018, schalke 04
Gardien,"25,67",11.4,3.8,2019, schalke 04
Défense,"22,36",78.33,7.12,2019, schalke 04
Milieu de terrain,"22,10",90.35,9.04,2019, schalke 04
Attaquant,"24,56",41.5,4.61,2019, schalke 04
Total,"23,18",221.58,6.71,2019, schalke 04
Gardien,"27,40",5.45,1.09,2020, schalke 04
Défense,"23,29",54.3,3.88,2020, schalke 04
Milieu de terrain,"22,19",39.1,2.44,2020, schalke 04
Attaquant,"25,50",24.2,2.42,2020, schalke 04
Total,"23,84",123.05,2.73,2020, schalke 04
Gardien,"23,60",4.85,0.97,2014,borussia dortmund
Défense,"23,08",112.65,8.67,2014,borussia dortmund
Milieu de terrain,"23,79",142.5,10.18,2014,borussia dortmund
Attaquant,"25,20",59.5,11.9,2014,borussia dortmund
Total,"23,70",319.5,8.64,2014,borussia dortmund
Gardien,"26,33",7.15,2.38,2015,borussia dortmund
Défense,"23,64",105.5,9.59,2015,borussia dortmund
Milieu de terrain,"24,18",176.3,16.03,2015,borussia dortmund
Attaquant,"22,60",64.0,12.8,2015,borussia dortmund
Total,"23,93",352.95,11.77,2015,borussia dortmund
Gardien,"27,33",10.15,3.38,2016,borussia dortmund
Défense,"25,40",100.75,10.08,2016,borussia dortmund
