Position,Valeur maximum,Years,Crew
Défense,18.0,2020,fc-getafe
Milieu,20.0,2020,fc-getafe
Attaquant,15.0,2020,fc-getafe
Total,20.0,2020,fc-getafe
Gardien,2.5,2014,ud-levante
Défense,2.5,2014,ud-levante
Milieu,3.5,2014,ud-levante
Attaquant,3.0,2014,ud-levante
Total,3.5,2014,ud-levante
Gardien,1.5,2015,ud-levante
Défense,3.0,2015,ud-levante
Milieu,3.0,2015,ud-levante
Attaquant,7.5,2015,ud-levante
Total,7.5,2015,ud-levante
Gardien,1.5,2016,ud-levante
Défense,1.5,2016,ud-levante
Milieu,2.5,2016,ud-levante
Attaquant,2.5,2016,ud-levante
Total,2.5,2016,ud-levante
Gardien,1.5,2017,ud-levante
Défense,2.0,2017,ud-levante
Milieu,6.0,2017,ud-levante
Attaquant,8.0,2017,ud-levante
Total,8.0,2017,ud-levante
Gardien,2.5,2018,ud-levante
Défense,6.0,2018,ud-levante
Milieu,15.0,2018,ud-levante
Attaquant,10.0,2018,ud-levante
Total,15.0,2018,ud-levante
Gardien,8.0,2019,ud-levante
Défense,4.8,2019,ud-levante
Milieu,12.0,2019,ud-levante
Attaquant,8.0,2019,ud-levante
Total,12.0,2019,ud-levante
Gardien,6.0,2020,ud-levante
Défense,10.0,2020,ud-levante
Milieu,15.0,2020,ud-levante
Attaquant,15.0,2020,ud-levante
Total,15.0,2020,ud-levante
Gardien,1.0,2014,deportivo-la-coruna
Défense,4.0,2014,deportivo-la-coruna
Milieu,3.0,2014,deportivo-la-coruna
Attaquant,3.5,2014,deportivo-la-coruna
Total,4.0,2014,deportivo-la-coruna
Gardien,1.5,2015,deportivo-la-coruna
Défense,4.0,2015,deportivo-la-coruna
Milieu,4.0,2015,deportivo-la-coruna
Attaquant,10.0,2015,deportivo-la-coruna
Total,10.0,2015,deportivo-la-coruna
Gardien,1.0,2016,deportivo-la-coruna
Défense,6.0,2016,deportivo-la-coruna
Milieu,7.5,2016,deportivo-la-coruna
Attaquant,15.0,2016,deportivo-la-coruna
Total,15.0,2016,deportivo-la-coruna
Gardien,1.5,2017,deportivo-la-coruna
Défense,4.0,2017,deportivo-la-coruna
Milieu,6.0,2017,deportivo-la-coruna
Attaquant,7.5,2017,deportivo-la-coruna
Total,7.5,2017,deportivo-la-coruna
Gardien,1.0,2018,deportivo-la-coruna
Défense,2.5,2018,deportivo-la-coruna
Milieu,4.0,2018,deportivo-la-coruna
Attaquant,2.0,2018,deportivo-la-coruna
Total,4.0,2018,deportivo-la-coruna
Gardien,0.55,2019,deportivo-la-coruna
Défense,6.7,2019,deportivo-la-coruna
Milieu,3.6,2019,deportivo-la-coruna
Attaquant,4.0,2019,deportivo-la-coruna
Total,6.7,2019,deportivo-la-coruna
Gardien,0.5,2020,deportivo-la-coruna
Défense,0.5,2020,deportivo-la-coruna
Milieu,1.6,2020,deportivo-la-coruna
Attaquant,2.0,2020,deportivo-la-coruna
Total,2.0,2020,deportivo-la-coruna
Gardien,1.0,2014,fc-granada
Défense,8.0,2014,fc-granada
Milieu,4.0,2014,fc-granada
Attaquant,5.0,2014,fc-granada
Total,8.0,2014,fc-granada
Gardien,1.5,2015,fc-granada
Défense,3.5,2015,fc-granada
Milieu,6.0,2015,fc-granada
Attaquant,6.0,2015,fc-granada
Total,6.0,2015,fc-granada
Gardien,3.0,2016,fc-granada
Défense,2.5,2016,fc-granada
Milieu,5.0,2016,fc-granada
Attaquant,5.0,2016,fc-granada
Total,5.0,2016,fc-granada
Gardien,0.5,2017,fc-granada
Défense,1.2,2017,fc-granada
Milieu,2.0,2017,fc-granada
Attaquant,2.5,2017,fc-granada
Total,2.5,2017,fc-granada
Gardien,2.5,2018,fc-granada
Défense,2.5,2018,fc-granada
Milieu,5.0,2018,fc-granada
Attaquant,2.0,2018,fc-granada
Total,5.0,2018,fc-granada
Gardien,4.0,2019,fc-granada
Défense,6.0,2019,fc-granada
Milieu,9.0,2019,fc-granada
Attaquant,3.2,2019,fc-granada
Total,9.0,2019,fc-granada
Gardien,12.0,2020,fc-granada
Défense,12.0,2020,fc-granada
Milieu,18.0,2020,fc-granada
Attaquant,10.0,2020,fc-granada
Total,18.0,2020,fc-granada
Gardien,1.5,2014,ud-almeria
Défense,2.5,2014,ud-almeria
Milieu,3.0,2014,ud-almeria
Attaquant,3.0,2014,ud-almeria
Total,3.5,2014,ud-almeria
Gardien,0.5,2015,ud-almeria
Défense,1.5,2015,ud-almeria
Milieu,1.5,2015,ud-almeria
Attaquant,1.0,2015,ud-almeria
Total,1.5,2015,ud-almeria
Gardien,0.4,2016,ud-almeria
Défense,2.0,2016,ud-almeria
Milieu,0.5,2016,ud-almeria
Attaquant,1.2,2016,ud-almeria
Total,2.0,2016,ud-almeria
Gardien,0.4,2017,ud-almeria
Défense,1.0,2017,ud-almeria
Milieu,3.0,2017,ud-almeria
Attaquant,0.9,2017,ud-almeria
Total,3.0,2017,ud-almeria
Gardien,0.4,2018,ud-almeria
Défense,3.0,2018,ud-almeria
Milieu,1.0,2018,ud-almeria
Attaquant,1.5,2018,ud-almeria
Total,3.0,2018,ud-almeria
Gardien,1.2,2019,ud-almeria
Défense,2.4,2019,ud-almeria
Milieu,2.4,2019,ud-almeria
Attaquant,1.8,2019,ud-almeria
Total,2.4,2019,ud-almeria
Gardien,1.0,2020,ud-almeria
Défense,6.0,2020,ud-almeria
Milieu,5.0,2020,ud-almeria
Attaquant,15.0,2020,ud-almeria
Total,15.0,2020,ud-almeria
Gardien,0.5,2014,fc-cordoba
Défense,2.5,2014,fc-cordoba
Milieu,3.0,2014,fc-cordoba
Attaquant,5.0,2014,fc-cordoba
Total,5.0,2014,fc-cordoba
Gardien,0.7,2015,fc-cordoba
Défense,1.8,2015,fc-cordoba
Milieu,0.8,2015,fc-cordoba
Attaquant,2.5,2015,fc-cordoba
Total,2.5,2015,fc-cordoba
Gardien,0.8,2016,fc-cordoba
Défense,1.2,2016,fc-cordoba
Milieu,0.6,2016,fc-cordoba
Attaquant,0.8,2016,fc-cordoba
Total,1.2,2016,fc-cordoba
Gardien,0.8,2017,fc-cordoba
Défense,1.0,2017,fc-cordoba
Milieu,0.8,2017,fc-cordoba
Attaquant,2.0,2017,fc-cordoba
Total,2.0,2017,fc-cordoba
Gardien,0.4,2018,fc-cordoba
Défense,1.5,2018,fc-cordoba
Milieu,2.0,2018,fc-cordoba
Attaquant,2.0,2018,fc-cordoba
Total,2.0,2018,fc-cordoba
Gardien,0.3,2019,fc-cordoba
Défense,0.4,2019,fc-cordoba
