Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Attaquant,"25,42",65.5,5.46,2018,espanyol barcelona
Total,"25,69",195.7,6.12,2018,espanyol barcelona
Gardien,"27,75",2.8,0.7,2019,espanyol barcelona
Défense,"24,92",37.3,2.87,2019,espanyol barcelona
Milieu de terrain,"24,78",41.4,4.6,2019,espanyol barcelona
Attaquant,"23,93",74.55,5.33,2019,espanyol barcelona
Total,"24,83",156.05,3.9,2019,espanyol barcelona
Gardien,"24,60",1.15,0.23,2020,espanyol barcelona
Défense,"23,20",16.7,1.67,2020,espanyol barcelona
Milieu de terrain,"23,00",25.6,2.56,2020,espanyol barcelona
Attaquant,"22,83",36.0,3.0,2020,espanyol barcelona
Total,"23,22",79.45,2.15,2020,espanyol barcelona
Gardien,"29,25",1.6,0.4,2014,rayo vallecano
Défense,"26,22",15.1,1.68,2014,rayo vallecano
Milieu de terrain,"23,57",10.2,1.46,2014,rayo vallecano
Attaquant,"25,11",24.8,2.76,2014,rayo vallecano
Total,"25,66",51.7,1.78,2014,rayo vallecano
Gardien,"29,00",2.9,0.58,2015,rayo vallecano
Défense,"27,60",13.4,1.34,2015,rayo vallecano
Milieu de terrain,"26,36",19.8,1.8,2015,rayo vallecano
Attaquant,"26,00",13.5,1.5,2015,rayo vallecano
Total,"27,00",49.6,1.42,2015,rayo vallecano
Gardien,"26,25",1.5,0.375,2016,rayo vallecano
Défense,"27,55",5.5,0.5,2016,rayo vallecano
Milieu de terrain,"24,73",8.45,0.768,2016,rayo vallecano
Attaquant,"27,00",4.9,0.613,2016,rayo vallecano
Total,"26,35",20.35,0.599,2016,rayo vallecano
Gardien,"26,67",1.0,0.333,2017,rayo vallecano
Défense,"26,44",7.5,0.833,2017,rayo vallecano
Milieu de terrain,"26,00",8.55,0.855,2017,rayo vallecano
Attaquant,"26,89",8.7,0.967,2017,rayo vallecano
Total,"26,45",25.75,0.831,2017,rayo vallecano
Gardien,"24,67",3.5,1.17,2018,rayo vallecano
Défense,"25,23",25.3,1.95,2018,rayo vallecano
Milieu de terrain,"24,45",23.2,2.11,2018,rayo vallecano
Attaquant,"26,22",34.7,3.86,2018,rayo vallecano
Total,"25,19",86.7,2.41,2018,rayo vallecano
Gardien,"23,71",2.9,0.414,2019,rayo vallecano
Défense,"24,64",8.68,0.62,2019,rayo vallecano
Milieu de terrain,"23,63",9.2,1.15,2019,rayo vallecano
Attaquant,"25,08",17.2,1.32,2019,rayo vallecano
Total,"24,43",37.98,0.904,2019,rayo vallecano
Gardien,"24,60",2.9,0.58,2020,rayo vallecano
Défense,"24,20",10.1,1.01,2020,rayo vallecano
Milieu de terrain,"23,89",6.4,0.711,2020,rayo vallecano
Attaquant,"25,25",10.55,0.879,2020,rayo vallecano
Total,"24,53",29.95,0.832,2020,rayo vallecano
Gardien,"23,67",5.0,1.67,2014,real sociedad san sebastian
Défense,"25,30",28.5,2.85,2014,real sociedad san sebastian
Milieu de terrain,"24,50",31.5,3.15,2014,real sociedad san sebastian
Attaquant,"23,86",31.8,4.54,2014,real sociedad san sebastian
Total,"24,53",96.8,3.23,2014,real sociedad san sebastian
Gardien,"22,67",7.0,2.33,2015,real sociedad san sebastian
Défense,"25,33",34.6,2.88,2015,real sociedad san sebastian
Milieu de terrain,"24,89",41.5,4.61,2015,real sociedad san sebastian
Attaquant,"23,50",36.3,4.54,2015,real sociedad san sebastian
Total,"24,50",119.4,3.73,2015,real sociedad san sebastian
Gardien,"24,67",14.6,4.87,2016,real sociedad san sebastian
Défense,"24,73",50.0,4.55,2016,real sociedad san sebastian
Milieu de terrain,"25,36",33.05,3.0,2016,real sociedad san sebastian
Attaquant,"22,89",60.5,6.72,2016,real sociedad san sebastian
Total,"24,44",158.15,4.65,2016,real sociedad san sebastian
Gardien,"27,00",12.7,3.18,2017,real sociedad san sebastian
Défense,"25,60",91.2,9.12,2017,real sociedad san sebastian
Milieu de terrain,"25,13",38.05,4.76,2017,real sociedad san sebastian
Attaquant,"23,75",91.8,11.48,2017,real sociedad san sebastian
Total,"25,17",233.75,7.79,2017,real sociedad san sebastian
Gardien,"27,00",11.8,3.93,2018,real sociedad san sebastian
Défense,"23,55",85.2,7.75,2018,real sociedad san sebastian
Milieu de terrain,"23,00",84.1,9.34,2018,real sociedad san sebastian
Attaquant,"21,60",119.85,11.99,2018,real sociedad san sebastian
Total,"23,12",300.95,9.12,2018,real sociedad san sebastian
Gardien,"24,75",13.55,3.39,2019,real sociedad san sebastian
Défense,"23,55",66.25,6.02,2019,real sociedad san sebastian
Milieu de terrain,"24,45",133.05,12.1,2019,real sociedad san sebastian
Attaquant,"21,90",134.7,13.47,2019,real sociedad san sebastian
Total,"23,50",347.55,9.65,2019,real sociedad san sebastian
Gardien,"24,20",21.25,4.25,2020,real sociedad san sebastian
Défense,"23,67",83.45,6.95,2020,real sociedad san sebastian
Milieu de terrain,"23,64",112.4,10.22,2020,real sociedad san sebastian
Attaquant,"23,40",188.2,18.82,2020,real sociedad san sebastian
Total,"23,66",405.3,10.67,2020,real sociedad san sebastian
Gardien,"25,50",3.5,0.875,2014, elche
Défense,"26,89",10.2,1.13,2014, elche
Milieu de terrain,"23,17",9.5,1.58,2014, elche
Attaquant,"23,40",15.4,1.54,2014, elche
Total,"24,72",38.6,1.33,2014, elche
Gardien,"24,33",1.2,0.4,2015, elche
Défense,"25,00",4.85,0.485,2015, elche
Milieu de terrain,"23,33",6.9,0.767,2015, elche
Attaquant,"22,25",3.5,0.438,2015, elche
Total,"23,70",16.45,0.548,2015, elche
Gardien,"24,33",1.0,0.333,2016, elche
Défense,"26,82",3.3,0.3,2016, elche
Milieu de terrain,"25,33",3.3,0.367,2016, elche
Attaquant,"24,73",3.9,0.355,2016, elche
Total,"25,53",11.5,0.338,2016, elche
Gardien,"26,00",0.15,0.05,2017, elche
Défense,"24,40",2.9,0.193,2017, elche
Milieu de terrain,"25,13",1.4,0.175,2017, elche
Attaquant,"26,11",1.75,0.194,2017, elche
Total,"25,14",6.2,0.177,2017, elche
Gardien,"26,25",1.5,0.375,2018, elche
Défense,"25,86",4.75,0.339,2018, elche
Milieu de terrain,"27,56",3.05,0.339,2018, elche
Attaquant,"25,31",6.85,0.527,2018, elche
Total,"26,10",16.15,0.404,2018, elche
Gardien,"21,50",1.15,0.288,2019, elche
Défense,"24,00",3.28,0.328,2019, elche
Milieu de terrain,"23,33",3.88,0.646,2019, elche
Attaquant,"25,53",7.4,0.493,2019, elche
Total,"24,26",15.7,0.449,2019, elche
Gardien,"21,17",5.35,0.892,2020, elche
Défense,"25,69",12.85,0.988,2020, elche
Milieu de terrain,"24,13",9.6,1.2,2020, elche
Attaquant,"26,67",17.75,1.18,2020, elche
Total,"25,10",45.55,1.08,2020, elche
Gardien,"30,67",4.0,1.33,2014, getafe
Défense,"24,00",15.8,1.32,2014, getafe
Milieu de terrain,"25,88",8.2,1.03,2014, getafe
Attaquant,"24,09",22.5,2.05,2014, getafe
Total,"25,06",50.5,1.49,2014, getafe
Gardien,"26,50",3.5,1.75,2015, getafe
Défense,"24,50",13.7,1.14,2015, getafe
Milieu de terrain,"26,25",5.7,1.43,2015, getafe
Attaquant,"24,15",26.7,2.05,2015, getafe
Total,"24,71",49.6,1.6,2015, getafe
Gardien,"27,33",2.5,0.833,2016, getafe
Défense,"27,60",6.6,0.66,2016, getafe
Milieu de terrain,"28,50",4.7,0.588,2016, getafe
Attaquant,"26,18",9.6,0.873,2016, getafe
Total,"27,31",23.4,0.731,2016, getafe
Gardien,"25,00",6.8,2.27,2017, getafe
Défense,"24,92",26.3,2.19,2017, getafe
Milieu de terrain,"27,67",10.3,1.14,2017, getafe
Attaquant,"25,00",22.2,1.85,2017, getafe
Total,"25,64",65.6,1.82,2017, getafe
Gardien,"24,75",16.7,4.18,2018, getafe
Défense,"25,78",46.5,5.17,2018, getafe
Milieu de terrain,"26,83",35.2,5.87,2018, getafe
Attaquant,"25,43",37.0,2.64,2018, getafe
Total,"25,70",135.4,4.1,2018, getafe
Gardien,"25,00",16.2,4.05,2019, getafe
Défense,"28,27",50.2,4.56,2019, getafe
Milieu de terrain,"25,22",76.45,8.49,2019, getafe
Attaquant,"28,11",32.6,3.62,2019, getafe
Total,"27,00",175.45,5.32,2019, getafe
Gardien,"26,50",11.0,5.5,2020, getafe
Défense,"25,50",39.15,3.26,2020, getafe
Milieu de terrain,"23,29",74.15,10.59,2020, getafe
Attaquant,"23,58",45.8,3.82,2020, getafe
Total,"24,39",170.1,5.15,2020, getafe
Gardien,"25,00",3.5,1.75,2014,ud levante
Défense,"28,18",9.3,0.845,2014,ud levante
Milieu de terrain,"26,57",13.2,1.89,2014,ud levante
Attaquant,"25,91",17.45,1.59,2014,ud levante
Total,"26,81",43.45,1.4,2014,ud levante
Gardien,"27,67",3.8,1.27,2015,ud levante
Défense,"27,82",11.8,1.07,2015,ud levante
Milieu de terrain,"24,86",11.0,1.57,2015,ud levante
Attaquant,"25,20",26.5,2.65,2015,ud levante
Total,"26,29",53.1,1.71,2015,ud levante
Gardien,"23,75",3.0,0.75,2016,ud levante
Défense,"24,90",8.15,0.815,2016,ud levante
Milieu de terrain,"25,20",7.8,1.56,2016,ud levante
Attaquant,"24,70",10.0,1.0,2016,ud levante
Total,"24,72",28.95,0.998,2016,ud levante
