id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
2166,Adrián Embarba,14,830,3,1.3547,3,1.1646,22,11,1,0,M S,Rayo Vallecano,3,1.3547,3.1338,1.284,2014
2186,Morales,36,2800,3,2.7033,3,3.0868,43,39,3,0,D F M S,Levante,3,2.7033,6.6623,2.8501,2014
2253,Lucas Vázquez,33,2751,3,4.0999,6,5.4029,37,53,5,0,M S,Espanyol,3,4.0999,11.4683,4.5021,2014
2256,Jesé,16,524,3,1.5849,2,1.8654,9,10,2,0,F S,Real Madrid,3,1.5849,6.5436,3.2208,2014
2264,Diego Godín,34,3060,3,3.0914,0,1.7507,24,5,11,0,D,Atletico Madrid,3,3.0914,4.0806,3.2362,2014
2271,Fernando Torres,19,884,3,2.7597,1,1.3512,23,6,3,0,F S,Atletico Madrid,3,2.7597,3.7916,0.0751,2014
2296,Mario,34,2834,3,3.2726,2,1.3771,35,23,5,0,D M S,Villarreal,3,3.2726,11.8809,8.1135,2014
2339,Charles,28,1098,3,5.7425,1,1.4353,28,14,6,0,F S,Celta Vigo,3,5.7425,6.5292,1.4609,2014
2341,Roque Santa Cruz,12,914,3,2.4914,1,0.4998,25,10,0,0,F S,Malaga,3,2.4914,3.6628,1.0442,2014
2377,Javi Fuego,35,3007,3,0.5583,1,1.0494,9,5,8,1,M S,Valencia,3,0.5583,8.5428,8.3412,2014
2381,Rodrigo,31,2083,3,6.7294,4,2.9723,54,29,5,2,F M S,Valencia,2,5.9863,11.9647,3.9083,2014
2406,Mikel Rico,36,2801,3,2.2966,2,0.6947,33,19,3,0,M S,Athletic Club,3,2.2966,6.988,4.5646,2014
2441,Reyes,19,1229,3,3.7373,4,4.3486,30,36,5,0,M S,Sevilla,3,3.7373,9.772,3.4362,2014
2466,Celso Borges,17,1479,3,2.9376,0,0.7641,23,16,6,0,M,Deportivo La Coruna,2,2.1943,4.4108,3.5657,2014
2484,Iñigo Martínez,34,3030,3,2.5675,0,0.5779,20,5,6,0,D,Real Sociedad,3,2.5675,4.8602,4.6401,2014
2495,Mateo Musacchio,14,1134,3,0.7647,0,0.3562,5,2,2,0,D S,Villarreal,3,0.7647,2.2823,2.1391,2014
2563,Diego Mainz,23,1721,3,1.7994,0,0.2452,10,3,3,0,D S,Granada,3,1.7994,1.7506,1.66,2014
3683,Ivan Cavaleiro,34,2399,3,4.145,3,2.4483,41,36,6,0,F M S,Deportivo La Coruna,3,3.4017,7.3003,2.6439,2014
4048,Fernando Soriano,28,1442,3,2.8609,1,1.0286,33,15,9,0,M S,Almeria,3,2.8609,4.5772,2.3187,2014
4094,Diego Castro,32,2268,3,3.7812,0,1.4687,39,21,7,0,F M S,Getafe,3,3.038,7.6779,4.163,2014
4109,Edu Albácar,18,1438,3,1.319,3,0.874,14,13,7,0,D S,Elche,2,0.5757,2.3007,2.2624,2014
4157,Manu del Moral,28,1703,3,2.973,1,2.1745,46,12,2,0,F M S,Eibar,3,2.973,5.0543,1.7343,2014
1219,Luis Alberto,15,572,2,2.3058,1,0.8802,19,16,1,0,M S,Malaga,2,1.5625,1.5334,0.3431,2014
2064,Sergio Escudero,30,2212,2,1.5663,2,1.4672,39,15,7,1,D M S,Getafe,2,1.5663,5.3578,2.8866,2014
2073,Coke,22,1818,2,1.661,3,3.3594,20,15,6,0,D S,Sevilla,2,1.661,7.7579,4.3889,2014
2079,Rubén Rochina,19,1128,2,3.6574,1,0.7824,41,12,4,0,M S,Granada,2,3.6574,5.3674,1.747,2014
2081,Isaac Cuenca,27,1482,2,2.2882,2,1.1278,29,16,1,0,M S,Deportivo La Coruna,1,1.5449,3.5132,1.2549,2014
2101,Jeremy Mathieu,28,2103,2,1.0263,0,1.411,11,5,5,0,D S,Barcelona,2,1.0263,10.1129,9.8489,2014
2102,Arda Turan,32,2349,2,2.7552,4,4.5086,27,36,7,0,F M S,Atletico Madrid,2,2.7552,11.0421,8.1325,2014
2170,Miku,7,218,2,1.6299,0,0.8775,7,7,0,0,F S,Rayo Vallecano,2,1.6299,3.7872,1.5419,2014
