Position,Valeur maximum,Years,Crew
Milieu,18.0,2017,west-bromwich-albion
Attaquant,15.0,2017,west-bromwich-albion
Total,18.0,2017,west-bromwich-albion
Gardien,7.0,2018,west-bromwich-albion
Défense,7.0,2018,west-bromwich-albion
Milieu,7.0,2018,west-bromwich-albion
Attaquant,15.0,2018,west-bromwich-albion
Total,15.0,2018,west-bromwich-albion
Gardien,5.5,2019,west-bromwich-albion
Défense,4.0,2019,west-bromwich-albion
Milieu,5.5,2019,west-bromwich-albion
Attaquant,9.5,2019,west-bromwich-albion
Total,9.5,2019,west-bromwich-albion
Gardien,8.0,2020,west-bromwich-albion
Défense,6.0,2020,west-bromwich-albion
Milieu,15.0,2020,west-bromwich-albion
Attaquant,15.0,2020,west-bromwich-albion
Total,16.0,2020,west-bromwich-albion
Gardien,3.5,2014,leicester-city
Défense,5.0,2014,leicester-city
Milieu,3.0,2014,leicester-city
Attaquant,8.5,2014,leicester-city
Total,8.5,2014,leicester-city
Gardien,5.0,2015,leicester-city
Défense,6.0,2015,leicester-city
Milieu,20.0,2015,leicester-city
Attaquant,20.0,2015,leicester-city
Total,20.0,2015,leicester-city
Gardien,10.0,2016,leicester-city
Défense,6.0,2016,leicester-city
Milieu,14.0,2016,leicester-city
Attaquant,30.0,2016,leicester-city
Total,30.0,2016,leicester-city
Gardien,10.0,2017,leicester-city
Défense,25.0,2017,leicester-city
Milieu,25.0,2017,leicester-city
Attaquant,50.0,2017,leicester-city
Total,50.0,2017,leicester-city
Gardien,12.0,2018,leicester-city
Défense,50.0,2018,leicester-city
Milieu,40.0,2018,leicester-city
Attaquant,20.0,2018,leicester-city
Total,50.0,2018,leicester-city
Gardien,9.5,2019,leicester-city
Défense,40.0,2019,leicester-city
Milieu,48.0,2019,leicester-city
Attaquant,16.0,2019,leicester-city
Total,48.0,2019,leicester-city
Gardien,6.0,2020,leicester-city
Défense,45.0,2020,leicester-city
Milieu,60.0,2020,leicester-city
Attaquant,20.0,2020,leicester-city
Total,60.0,2020,leicester-city
Gardien,9.0,2014,newcastle-united
Défense,7.0,2014,newcastle-united
Milieu,15.0,2014,newcastle-united
Attaquant,8.0,2014,newcastle-united
Total,15.0,2014,newcastle-united
Gardien,8.0,2015,newcastle-united
Défense,10.0,2015,newcastle-united
Milieu,20.0,2015,newcastle-united
Attaquant,14.0,2015,newcastle-united
Total,20.0,2015,newcastle-united
Gardien,5.0,2016,newcastle-united
Défense,9.0,2016,newcastle-united
Milieu,11.0,2016,newcastle-united
Attaquant,18.0,2016,newcastle-united
Total,18.0,2016,newcastle-united
Gardien,4.5,2017,newcastle-united
Défense,15.0,2017,newcastle-united
Milieu,15.0,2017,newcastle-united
Attaquant,18.0,2017,newcastle-united
Total,18.0,2017,newcastle-united
Gardien,7.0,2018,newcastle-united
Défense,15.0,2018,newcastle-united
Milieu,20.0,2018,newcastle-united
Attaquant,15.0,2018,newcastle-united
Total,20.0,2018,newcastle-united
Gardien,5.5,2019,newcastle-united
Défense,16.0,2019,newcastle-united
Milieu,17.5,2019,newcastle-united
Attaquant,20.0,2019,newcastle-united
Total,20.0,2019,newcastle-united
Gardien,10.0,2020,newcastle-united
Défense,15.0,2020,newcastle-united
Milieu,16.0,2020,newcastle-united
Attaquant,30.0,2020,newcastle-united
Total,30.0,2020,newcastle-united
Gardien,5.0,2014,afc-sunderland
Défense,3.0,2014,afc-sunderland
Milieu,11.0,2014,afc-sunderland
Attaquant,7.5,2014,afc-sunderland
Total,11.0,2014,afc-sunderland
Gardien,4.5,2015,afc-sunderland
Défense,5.0,2015,afc-sunderland
Milieu,8.0,2015,afc-sunderland
Attaquant,11.0,2015,afc-sunderland
Total,11.0,2015,afc-sunderland
Gardien,15.0,2016,afc-sunderland
Défense,9.0,2016,afc-sunderland
Milieu,10.0,2016,afc-sunderland
Attaquant,11.0,2016,afc-sunderland
Total,15.0,2016,afc-sunderland
Gardien,2.0,2017,afc-sunderland
Défense,7.0,2017,afc-sunderland
Milieu,8.0,2017,afc-sunderland
Attaquant,10.0,2017,afc-sunderland
Total,10.0,2017,afc-sunderland
Gardien,2.0,2018,afc-sunderland
Défense,3.0,2018,afc-sunderland
Milieu,3.0,2018,afc-sunderland
Attaquant,2.5,2018,afc-sunderland
Total,3.0,2018,afc-sunderland
Gardien,0.325,2019,afc-sunderland
Défense,1.2,2019,afc-sunderland
Milieu,1.6,2019,afc-sunderland
Attaquant,2.0,2019,afc-sunderland
Total,2.0,2019,afc-sunderland
Gardien,0.3,2020,afc-sunderland
Défense,0.85,2020,afc-sunderland
Milieu,1.6,2020,afc-sunderland
Attaquant,1.2,2020,afc-sunderland
Total,1.6,2020,afc-sunderland
Gardien,5.0,2014,aston-villa
Défense,6.0,2014,aston-villa
Milieu,9.0,2014,aston-villa
Attaquant,14.0,2014,aston-villa
Total,14.0,2014,aston-villa
Gardien,3.0,2015,aston-villa
Défense,10.0,2015,aston-villa
Milieu,9.0,2015,aston-villa
Attaquant,8.0,2015,aston-villa
Total,10.0,2015,aston-villa
Gardien,4.0,2016,aston-villa
Défense,10.0,2016,aston-villa
Milieu,9.0,2016,aston-villa
Attaquant,10.0,2016,aston-villa
Total,10.0,2016,aston-villa
Gardien,2.5,2017,aston-villa
Défense,8.0,2017,aston-villa
Milieu,4.0,2017,aston-villa
Attaquant,9.0,2017,aston-villa
Total,9.0,2017,aston-villa
Gardien,6.5,2018,aston-villa
Défense,8.0,2018,aston-villa
Milieu,6.5,2018,aston-villa
Attaquant,25.0,2018,aston-villa
Total,25.0,2018,aston-villa
Gardien,4.8,2019,aston-villa
Défense,22.5,2019,aston-villa
Milieu,18.0,2019,aston-villa
Attaquant,30.5,2019,aston-villa
Total,30.5,2019,aston-villa
Gardien,30.0,2020,aston-villa
Défense,30.0,2020,aston-villa
Milieu,35.0,2020,aston-villa
Attaquant,65.0,2020,aston-villa
Total,65.0,2020,aston-villa
Gardien,1.5,2014,hull-city
Défense,5.0,2014,hull-city
Milieu,7.0,2014,hull-city
Attaquant,9.0,2014,hull-city
Total,9.0,2014,hull-city
Gardien,1.5,2015,hull-city
Défense,6.0,2015,hull-city
Milieu,5.0,2015,hull-city
Attaquant,7.5,2015,hull-city
Total,7.5,2015,hull-city
Gardien,3.0,2016,hull-city
Défense,8.0,2016,hull-city
Milieu,8.5,2016,hull-city
Attaquant,10.0,2016,hull-city
Total,10.0,2016,hull-city
Gardien,2.0,2017,hull-city
Défense,3.0,2017,hull-city
Milieu,8.0,2017,hull-city
Attaquant,7.0,2017,hull-city
Total,8.0,2017,hull-city
Gardien,1.5,2018,hull-city
Défense,2.5,2018,hull-city
Milieu,5.0,2018,hull-city
Attaquant,10.0,2018,hull-city
Total,10.0,2018,hull-city
Gardien,0.6,2019,hull-city
Défense,2.4,2019,hull-city
Milieu,4.0,2019,hull-city
Attaquant,16.0,2019,hull-city
Total,16.0,2019,hull-city
Gardien,0.6,2020,hull-city
Défense,2.4,2020,hull-city
Milieu,1.5,2020,hull-city
Attaquant,1.0,2020,hull-city
Total,2.4,2020,hull-city
Gardien,2.5,2014,fc-burnley
Défense,3.5,2014,fc-burnley
Milieu,4.0,2014,fc-burnley
Attaquant,10.0,2014,fc-burnley
Total,10.0,2014,fc-burnley
Gardien,3.0,2015,fc-burnley
Défense,4.5,2015,fc-burnley
Milieu,2.5,2015,fc-burnley
Attaquant,10.0,2015,fc-burnley
Total,10.0,2015,fc-burnley
Gardien,4.0,2016,fc-burnley
Défense,18.0,2016,fc-burnley
Milieu,6.0,2016,fc-burnley
Attaquant,10.0,2016,fc-burnley
Total,18.0,2016,fc-burnley
Gardien,10.0,2017,fc-burnley
Défense,15.0,2017,fc-burnley
Milieu,15.0,2017,fc-burnley
Attaquant,18.0,2017,fc-burnley
Total,18.0,2017,fc-burnley
Gardien,10.0,2018,fc-burnley
Défense,18.0,2018,fc-burnley
Milieu,15.0,2018,fc-burnley
Attaquant,18.0,2018,fc-burnley
Total,18.0,2018,fc-burnley
Gardien,9.5,2019,fc-burnley
Défense,20.0,2019,fc-burnley
Milieu,12.0,2019,fc-burnley
Attaquant,18.0,2019,fc-burnley
Total,20.0,2019,fc-burnley
Gardien,15.0,2020,fc-burnley
Défense,25.0,2020,fc-burnley
Milieu,7.0,2020,fc-burnley
Attaquant,22.0,2020,fc-burnley
Total,25.0,2020,fc-burnley
Gardien,2.5,2014,queens-park-rangers
Défense,9.0,2014,queens-park-rangers
Milieu,8.5,2014,queens-park-rangers
Attaquant,12.0,2014,queens-park-rangers
Total,12.0,2014,queens-park-rangers
Gardien,1.5,2015,queens-park-rangers
Défense,7.5,2015,queens-park-rangers
Milieu,8.5,2015,queens-park-rangers
Attaquant,13.0,2015,queens-park-rangers
Total,13.0,2015,queens-park-rangers
Gardien,2.5,2016,queens-park-rangers
Défense,5.0,2016,queens-park-rangers
Milieu,4.0,2016,queens-park-rangers
Attaquant,2.5,2016,queens-park-rangers
Total,5.0,2016,queens-park-rangers
Gardien,3.0,2017,queens-park-rangers
Défense,2.0,2017,queens-park-rangers
Milieu,4.5,2017,queens-park-rangers
Attaquant,2.5,2017,queens-park-rangers
Total,4.5,2017,queens-park-rangers
Gardien,0.75,2018,queens-park-rangers
Défense,2.5,2018,queens-park-rangers
Milieu,5.0,2018,queens-park-rangers
Attaquant,4.0,2018,queens-park-rangers
Total,5.0,2018,queens-park-rangers
Gardien,0.6,2019,queens-park-rangers
Défense,2.4,2019,queens-park-rangers
Milieu,9.0,2019,queens-park-rangers
