Rank,Team,Years,PTS,Win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
11,West Ham,2016,45,0.316,47,64,48.25,59.67,273,103.8,53.375,1.0066677777777777,1.0040375
13,West Ham,2017,42,0.263,48,68,36.8,58.37,260,90.0,47.875,1.0117446666666667,0.9933890909090907
10,West Ham,2018,52,0.395,52,55,47.96,65.66,359,132.8,65.625,0.982771176470588,1.0236936363636362
16,West Ham,2019,39,0.263,49,62,49.07,68.32,303,109.6,49.25,1.014406875,0.9951273333333331
6,West Ham,2020,65,0.5,62,47,60.34,49.86,336,101.8,49.875,0.995690588235294,1.0210933333333334
13,West Bromwich Albion,2014,44,0.289,38,51,38.63,53.75,95,35.7,14.312,0.9599835294117647,1.02131
14,West Bromwich Albion,2015,43,0.263,34,48,39.75,51.94,113,41.9,20.688,0.9795978947368422,0.9845444444444443
10,West Bromwich Albion,2016,45,0.316,43,51,38.21,47.9,123,53.2,18.0,0.9814553846153847,0.96754
20,West Bromwich Albion,2017,31,0.158,31,56,35.18,48.99,165,64.3,30.062,0.9587950000000001,0.970819
1,Leicester,2015,81,0.605,68,36,68.42,45.02,161,64.0,23.75,0.96976125,0.9728231250000001
12,Leicester,2016,44,0.316,48,63,44.34,51.3,218,94.5,25.688,0.981542,0.9560906250000001
9,Leicester,2017,47,0.316,56,60,50.29,49.36,304,129.2,46.125,0.9862763157894738,1.0076930000000002
9,Leicester,2018,52,0.395,51,48,52.11,44.64,434,76.9,114.188,0.9928716666666667,1.0317539999999998
5,Leicester,2019,62,0.474,67,41,61.02,47.89,411,71.6,100.0,1.0167433333333333,0.9688725000000001
5,Leicester,2020,66,0.526,68,50,58.8,47.07,510,83.7,128.688,1.0102405555555556,1.006922142857143
15,Newcastle United,2014,39,0.263,40,63,40.22,51.01,140,30.5,24.438,1.0099616666666664,1.0366099999999998
18,Newcastle United,2015,37,0.237,44,65,37.61,55.42,198,65.7,25.938,1.0052929411764704,1.0251046153846153
13,Newcastle United,2018,45,0.316,42,48,39.91,57.55,244,67.5,57.438,1.0007177777777778,0.93813
13,Newcastle United,2019,44,0.289,38,58,36.49,67.03,252,61.1,64.312,1.000186111111111,0.9712246153846154
12,Newcastle United,2020,45,0.316,46,62,43.96,60.02,255,80.6,45.125,1.0021576470588234,0.988790909090909
17,Aston Villa,2014,38,0.263,31,57,33.1,49.71,114,32.5,20.438,1.0148533333333332,1.000781176470588
20,Aston Villa,2015,17,0.079,27,76,26.53,59.01,117,33.3,26.562,1.0186337500000002,1.0054136363636363
11,Aston Villa,2020,55,0.421,55,46,56.72,53.25,430,142.3,81.812,1.012029375,0.965352
18,Hull,2014,35,0.211,33,51,32.79,46.99,117,44.5,18.812,0.9637684210526315,0.9749663636363638
7,Burnley,2017,54,0.368,36,39,32.77,52.16,169,53.9,31.188,0.9838343750000001,0.949908181818182
15,Burnley,2018,40,0.289,45,68,44.74,66.12,197,65.3,40.188,1.0061686666666667,1.010509
10,Burnley,2019,54,0.395,43,50,49.35,53.84,163,51.3,34.812,0.9975111764705882,0.9773450000000002
17,Burnley,2020,39,0.263,33,55,38.13,59.06,132,36.7,33.438,0.9690849999999998,0.9556366666666667
17,Watford,2016,40,0.289,40,68,36.25,52.62,175,57.9,28.562,0.9784099999999998,0.982335
14,Watford,2017,41,0.289,44,64,45.85,53.98,196,73.8,29.125,0.9858340000000002,1.033572
11,Watford,2018,50,0.368,52,59,51.73,63.29,239,83.8,38.5,0.9952099999999999,1.02688625
19,Watford,2019,34,0.211,36,64,48.56,59.53,199,82.5,26.188,0.9723657894736843,0.995726
9,Bournemouth,2016,46,0.316,55,67,50.02,62.99,131,52.1,22.938,0.9785893333333334,0.9940486666666666
12,Bournemouth,2017,44,0.289,45,61,39.99,64.93,144,51.4,27.75,0.962605625,0.9823491666666667
14,Bournemouth,2018,45,0.342,56,70,58.81,62.42,310,123.5,62.938,0.9754981249999999,1.016999
18,Bournemouth,2019,34,0.237,40,65,44.67,63.29,272,108.6,51.875,1.00539625,0.9933821428571429
17,Brighton,2018,36,0.237,35,60,37.03,62.46,194,56.1,38.812,0.970721875,0.9361392307692309
15,Brighton,2019,41,0.237,39,54,47.42,60.42,200,55.1,41.812,0.96397,0.9838030769230769
16,Brighton,2020,41,0.237,40,46,53.82,39.91,290,60.8,82.375,0.9675259999999999,0.9881693333333333
20,Huddersfield,2018,16,0.079,22,76,29.0,67.19,137,40.5,29.188,0.9825352941176472,0.9439149999999998
7,Wolverhampton Wanderers,2019,59,0.395,51,40,54.22,37.39,320,115.3,61.062,0.9722705882352942,0.9904791666666668
13,Wolverhampton Wanderers,2020,45,0.316,36,52,38.62,52.19,450,181.4,87.25,0.9843135714285715,0.9566023076923078
20,Sheffield United,2020,23,0.184,20,63,33.16,66.11,149,36.0,38.5,1.0010036842105263,0.9538333333333333
