Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"26,25",3.45,0.863,2019,us sassuolo
Défense,"23,06",53.4,3.14,2019,us sassuolo
Milieu de terrain,"23,36",56.15,5.1,2019,us sassuolo
Attaquant,"22,67",55.03,4.59,2019,us sassuolo
Total,"23,32",168.03,3.82,2019,us sassuolo
Gardien,"26,75",3.5,0.875,2020,us sassuolo
Défense,"24,50",55.98,4.66,2020,us sassuolo
Milieu de terrain,"23,55",82.04,7.46,2020,us sassuolo
Attaquant,"22,83",99.05,8.25,2020,us sassuolo
Total,"23,95",240.56,6.17,2020,us sassuolo
Gardien,"23,60",2.73,0.545,2014,hellas verona
Défense,"26,36",11.33,0.809,2014,hellas verona
Milieu de terrain,"22,90",14.35,1.44,2014,hellas verona
Attaquant,"27,89",14.2,1.58,2014,hellas verona
Total,"25,45",42.6,1.12,2014,hellas verona
Gardien,"25,60",2.95,0.59,2015,hellas verona
Défense,"24,14",17.0,1.21,2015,hellas verona
Milieu de terrain,"24,50",16.48,1.18,2015,hellas verona
Attaquant,"26,11",11.3,1.26,2015,hellas verona
Total,"24,86",47.73,1.14,2015,hellas verona
Gardien,"22,00",0.9,0.129,2016,hellas verona
Défense,"23,18",8.98,0.528,2016,hellas verona
Milieu de terrain,"24,00",18.9,1.18,2016,hellas verona
Attaquant,"25,82",9.88,0.898,2016,hellas verona
Total,"23,84",38.65,0.758,2016,hellas verona
Gardien,"27,75",1.35,0.338,2017,hellas verona
Défense,"25,57",12.35,0.882,2017,hellas verona
Milieu de terrain,"23,71",19.8,1.41,2017,hellas verona
Attaquant,"22,67",22.6,2.51,2017,hellas verona
Total,"24,51",56.1,1.37,2017,hellas verona
Gardien,"23,71",1.9,0.271,2018,hellas verona
Défense,"24,05",9.0,0.474,2018,hellas verona
Milieu de terrain,"22,84",20.73,1.09,2018,hellas verona
Attaquant,"24,45",8.9,0.809,2018,hellas verona
Total,"23,68",40.53,0.724,2018,hellas verona
Gardien,"26,33",5.33,1.78,2019,hellas verona
Défense,"24,67",45.43,3.79,2019,hellas verona
Milieu de terrain,"23,00",41.88,2.62,2019,hellas verona
Attaquant,"24,00",19.9,2.21,2019,hellas verona
Total,"23,98",112.53,2.81,2019,hellas verona
Gardien,"24,50",10.1,2.53,2020,hellas verona
Défense,"22,31",45.76,2.86,2020,hellas verona
Milieu de terrain,"24,13",73.5,4.9,2020,hellas verona
Attaquant,"22,82",27.85,2.53,2020,hellas verona
Total,"23,22",157.21,3.42,2020,hellas verona
Gardien,"25,67",9.33,1.55,2014,chievo verona
Défense,"27,31",16.13,1.24,2014,chievo verona
Milieu de terrain,"26,45",18.5,1.68,2014,chievo verona
Attaquant,"26,20",18.15,1.82,2014,chievo verona
Total,"26,55",62.1,1.55,2014,chievo verona
Gardien,"28,00",0.875,0.219,2015,chievo verona
Défense,"27,27",10.58,0.705,2015,chievo verona
Milieu de terrain,"26,11",18.0,2.0,2015,chievo verona
Attaquant,"25,42",20.33,1.69,2015,chievo verona
