Position,Valeur maximum,Years,Crew
Gardien,60.0,2020,ac-mailand
Défense,50.0,2020,ac-mailand
Milieu,55.0,2020,ac-mailand
Attaquant,32.0,2020,ac-mailand
Total,60.0,2020,ac-mailand
Gardien,1.5,2014,palermo-fc
Défense,4.8,2014,palermo-fc
Milieu,7.5,2014,palermo-fc
Attaquant,7.5,2014,palermo-fc
Total,23.0,2014,palermo-fc
Gardien,0.9,2015,palermo-fc
Défense,3.8,2015,palermo-fc
Milieu,13.0,2015,palermo-fc
Attaquant,7.0,2015,palermo-fc
Total,13.0,2015,palermo-fc
Gardien,1.8,2016,palermo-fc
Défense,2.5,2016,palermo-fc
Milieu,3.5,2016,palermo-fc
Attaquant,3.5,2016,palermo-fc
Total,3.5,2016,palermo-fc
Gardien,1.0,2017,palermo-fc
Défense,1.7,2017,palermo-fc
Milieu,2.4,2017,palermo-fc
Attaquant,4.3,2017,palermo-fc
Total,4.3,2017,palermo-fc
Gardien,1.5,2018,palermo-fc
Défense,1.5,2018,palermo-fc
Milieu,4.0,2018,palermo-fc
Attaquant,4.0,2018,palermo-fc
Total,4.0,2018,palermo-fc
Gardien,0.225,2019,palermo-fc
Défense,0.25,2019,palermo-fc
Milieu,0.3,2019,palermo-fc
Attaquant,0.2,2019,palermo-fc
Total,0.3,2019,palermo-fc
Gardien,0.2,2020,palermo-fc
Défense,0.375,2020,palermo-fc
Milieu,0.5,2020,palermo-fc
Attaquant,0.35,2020,palermo-fc
Total,0.5,2020,palermo-fc
Gardien,7.0,2014,us-sassuolo
Défense,7.5,2014,us-sassuolo
Milieu,8.0,2014,us-sassuolo
Attaquant,15.0,2014,us-sassuolo
Total,15.0,2014,us-sassuolo
Gardien,7.0,2015,us-sassuolo
Défense,13.0,2015,us-sassuolo
Milieu,5.5,2015,us-sassuolo
Attaquant,20.0,2015,us-sassuolo
Total,20.0,2015,us-sassuolo
Gardien,8.0,2016,us-sassuolo
Défense,12.0,2016,us-sassuolo
Milieu,12.0,2016,us-sassuolo
Attaquant,25.0,2016,us-sassuolo
Total,25.0,2016,us-sassuolo
Gardien,5.0,2017,us-sassuolo
Défense,10.0,2017,us-sassuolo
Milieu,10.0,2017,us-sassuolo
Attaquant,22.0,2017,us-sassuolo
Total,22.0,2017,us-sassuolo
Gardien,4.0,2018,us-sassuolo
Défense,15.0,2018,us-sassuolo
Milieu,18.0,2018,us-sassuolo
Attaquant,30.0,2018,us-sassuolo
Total,30.0,2018,us-sassuolo
Gardien,2.8,2019,us-sassuolo
Défense,8.0,2019,us-sassuolo
Milieu,15.5,2019,us-sassuolo
Attaquant,19.0,2019,us-sassuolo
Total,19.0,2019,us-sassuolo
Gardien,3.0,2020,us-sassuolo
Défense,12.0,2020,us-sassuolo
Milieu,35.0,2020,us-sassuolo
Attaquant,35.0,2020,us-sassuolo
Total,35.0,2020,us-sassuolo
Gardien,2.0,2014,hellas-verona
Défense,2.4,2014,hellas-verona
Milieu,3.2,2014,hellas-verona
Attaquant,4.5,2014,hellas-verona
Total,4.5,2014,hellas-verona
Gardien,2.0,2015,hellas-verona
Défense,4.5,2015,hellas-verona
Milieu,4.0,2015,hellas-verona
Attaquant,2.8,2015,hellas-verona
Total,4.5,2015,hellas-verona
Gardien,0.5,2016,hellas-verona
Défense,1.5,2016,hellas-verona
Milieu,3.5,2016,hellas-verona
Attaquant,2.0,2016,hellas-verona
Total,3.5,2016,hellas-verona
Gardien,0.9,2017,hellas-verona
Défense,2.5,2017,hellas-verona
Milieu,4.0,2017,hellas-verona
Attaquant,12.0,2017,hellas-verona
Total,12.0,2017,hellas-verona
Gardien,0.8,2018,hellas-verona
Défense,2.0,2018,hellas-verona
Milieu,4.5,2018,hellas-verona
Attaquant,1.7,2018,hellas-verona
Total,6.0,2018,hellas-verona
