id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
4722,Siaka Tiéné,17,1315,2,0.9272,1,1.1506,14,10,4,0,D S,Montpellier,2,0.9272,2.1243,1.1006,2014
4746,Rod Fanni,27,2239,2,1.1156,2,1.1232,10,7,2,1,D S,Marseille,2,1.1156,6.6442,5.3411,2014
4749,Anders Konradsen,19,1049,2,0.6031,0,0.0297,15,1,2,0,M S,Rennes,2,0.6031,1.7311,1.4076,2014
4768,Wylan Cyprien,33,2198,2,1.6451,2,3.125,37,32,9,0,M S,Lens,2,1.6451,6.7995,3.9875,2014
4773,Benjamin Bourigeaud,19,1047,2,1.4968,1,1.5519,14,21,3,0,F M S,Lens,2,1.4968,3.0717,1.4238,2014
4784,Ronnie Schwartz,14,705,2,2.5018,1,0.4252,22,5,1,0,F S,Guingamp,2,2.5018,2.8243,0.5002,2014
4792,Jean Calvé,16,1336,2,0.5161,1,0.7526,12,12,0,0,D S,Caen,2,0.5161,1.8131,1.5426,2014
4846,Gaëtan Courtet,17,517,2,1.7849,0,0.9771,20,8,1,0,F M S,Reims,2,1.7849,1.9825,0.1046,2014
4848,Michael Frey,15,695,2,1.2431,0,0.6789,13,11,2,0,F S,Lille,2,1.2431,2.5068,1.0422,2014
516,Yohan Cabaye,24,965,1,1.0748,1,1.0988,21,9,6,1,M S,Paris Saint Germain,1,1.0748,6.5356,4.9723,2014
728,Lamine Koné,30,2700,1,0.8869,1,1.2585,19,7,4,0,D,Lorient,1,0.8869,3.8607,2.9899,2014
980,Franck Tabanou,31,2612,1,1.2608,5,2.1489,21,24,6,0,D S,Saint-Etienne,1,1.2608,9.3608,7.6017,2014
1063,Tiago Ilori,12,1016,1,1.2416,0,0.0938,4,3,2,0,D,Bordeaux,1,1.2416,0.7324,0.6174,2014
1064,Sylvain Marveaux,24,1595,1,1.7329,2,2.6003,17,27,0,0,F M S,Guingamp,1,1.7329,5.5573,2.9817,2014
1516,Geoffrey Kondogbia,23,1913,1,1.7157,1,0.5357,27,9,3,0,M S,Monaco,1,1.7157,8.3011,7.4066,2014
1932,Sanjin Prcic,17,631,1,0.5864,1,0.2548,14,7,3,0,M S,Rennes,1,0.5864,2.8364,2.2801,2014
2440,Mariano,31,2779,1,1.2373,3,4.2345,24,47,5,0,D M,Bordeaux,1,1.2373,11.4,7.4037,2014
2530,Didier Digard,14,849,1,1.3281,1,0.568,12,7,1,0,D M S,Nice,1,1.3281,2.9209,2.2803,2014
2667,Sambou Yatabaré,19,1055,1,0.5587,3,1.4511,15,13,7,1,M S,Guingamp,1,0.5587,3.2158,1.7011,2014
2952,Jonathan Mensah,11,915,1,0.4732,0,0.0,8,0,3,0,D S,Evian Thonon Gaillard,1,0.4732,1.0337,0.9563,2014
3220,Sylvain Armand,36,3240,1,0.4675,0,0.4778,11,12,4,0,D,Rennes,1,0.4675,6.1474,5.6259,2014
3223,Benjamin André,22,1371,1,0.6148,0,0.5879,8,12,4,0,D F M S,Rennes,1,0.6148,3.5589,2.78,2014
3240,Antoine Devaux,28,2306,1,1.24,0,1.0255,23,16,4,0,M S,Reims,1,1.24,5.0804,3.8077,2014
3247,Odaïr Fortes,33,2181,1,1.9927,3,2.3504,25,31,1,0,M S,Reims,1,1.9927,6.7198,3.5532,2014
3254,Lamine Sané,23,1934,1,0.5292,1,1.2393,10,4,0,1,D M S,Bordeaux,1,0.5292,4.2231,4.2231,2014
3257,Cédric Yambéré,16,1187,1,0.2887,0,0.0674,8,1,2,0,D M S,Bordeaux,1,0.2887,1.2493,1.0324,2014
3260,Enzo Crivelli,11,227,1,1.2809,1,0.9384,9,4,1,0,F S,Bordeaux,1,1.2809,1.5863,0.1852,2014
3271,Jérémy Morel,31,2684,1,0.6966,0,0.8147,5,7,6,0,D M S,Marseille,1,0.6966,7.8961,7.3442,2014
3274,Maxime Gonalons,35,3137,1,2.4131,2,1.2363,20,16,7,0,D M,Lyon,0,0.8929,9.6413,8.319,2014
3275,Jordan Ferri,35,2635,1,3.807,6,3.7781,40,34,7,0,M S,Lyon,1,3.807,15.9299,9.2098,2014
3279,Bakary Koné,17,1289,1,0.2696,0,0.1993,5,3,3,0,D S,Lyon,1,0.2696,2.6346,2.5955,2014
3287,Gregory Van der Wiel,25,1999,1,0.4605,3,3.1287,8,17,3,1,D S,Paris Saint Germain,1,0.4605,11.6842,10.1418,2014
3288,Thiago Silva,26,2309,1,2.1976,0,0.2441,11,3,1,0,D,Paris Saint Germain,1,2.1976,10.7902,10.5462,2014
3297,Marquinhos,25,1872,1,0.3155,0,0.5865,4,3,2,0,D S,Paris Saint Germain,1,0.3155,11.0098,10.7988,2014
3305,Paul Baysse,9,627,1,0.7455,0,0.0,5,0,1,0,D S,Saint-Etienne,1,0.7455,0.6234,0.6234,2014
3316,Romain Genevois,34,2944,1,1.8039,1,1.2296,9,4,3,0,D,Nice,1,1.8039,3.8141,2.9172,2014
3317,Niklas Hult,30,1904,1,1.8979,0,1.3428,18,19,4,0,M S,Nice,1,1.8979,5.455,3.0122,2014
3324,Mehdi Mostefa,23,1714,1,1.4678,1,0.5142,17,7,5,0,M S,Lorient,1,1.4678,4.1284,3.6372,2014
3325,Yannick Cahuzac,21,1751,1,0.3249,2,0.4599,11,10,6,2,M,SC Bastia,1,0.3249,2.13,1.6123,2014
3329,Gaël Danic,16,1159,1,1.0459,4,0.8845,20,13,2,0,F M S,"Lyon,SC Bastia",1,1.0459,2.9666,1.785,2014
3346,Jonas Martin,30,2304,1,1.6523,4,3.7295,18,21,5,0,M S,Montpellier,1,1.6523,9.382,5.2774,2014
3352,Djamel Bakar,13,258,1,1.1998,1,1.0525,6,7,0,0,F S,Montpellier,1,0.4397,2.0796,0.8813,2014
3354,Sébastien Corchia,31,2512,1,0.5557,1,1.7842,15,29,5,2,D F M S,Lille,1,0.5557,2.9901,2.5038,2014
3359,Rio Mavuba,30,2610,1,0.658,0,0.4295,6,13,4,0,M,Lille,1,0.658,6.7304,5.7318,2014
3370,Issiaga Sylla,12,747,1,0.8808,1,0.2995,11,5,1,0,D M S,Toulouse,1,0.8808,1.6534,0.6734,2014
3391,Jacques-Alaixys Romao,32,2405,1,1.3581,2,0.809,12,11,6,1,D M S,Marseille,1,1.3581,6.9754,6.4317,2014
3419,Elderson Echiéjilé,12,890,1,0.8626,0,0.6027,7,8,1,0,D S,Monaco,1,0.8626,2.392,1.6765,2014
