Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"24,74","42,95","1,23",2015,stade reims
Gardien,"22,50","1,20",300 K €,2016,stade reims
Défense,"23,67","12,30","1,03",2016,stade reims
Milieu de terrain,"24,67","4,50",500 K €,2016,stade reims
Attaquant,"23,67","7,60",844 K €,2016,stade reims
Total,"23,79","25,60",753 K €,2016,stade reims
Gardien,"23,00","1,65",413 K €,2017,stade reims
Défense,"22,71","10,95",782 K €,2017,stade reims
Milieu de terrain,"22,90","5,95",595 K €,2017,stade reims
Attaquant,"22,57","7,70","1,10",2017,stade reims
Total,"22,77","26,25",750 K €,2017,stade reims
Gardien,"23,75","9,90","2,48",2018,stade reims
Défense,"22,71","29,80","2,13",2018,stade reims
Milieu de terrain,"24,45","17,65","1,60",2018,stade reims
Attaquant,"23,50","29,60","3,70",2018,stade reims
Total,"23,51","86,95","2,35",2018,stade reims
Gardien,"21,33","6,18","2,06",2019,stade reims
Défense,"22,63","27,45","3,43",2019,stade reims
Milieu de terrain,"24,67","14,65","1,63",2019,stade reims
Attaquant,"21,55","33,40","3,04",2019,stade reims
Total,"22,71","81,68","2,63",2019,stade reims
Gardien,"20,75","9,80","2,45",2020,stade reims
Défense,"22,56","26,05","2,89",2020,stade reims
Milieu de terrain,"23,56","22,65","2,52",2020,stade reims
Attaquant,"21,17","46,68","3,89",2020,stade reims
Total,"22,12","105,18","3,09",2020,stade reims
Gardien,"26,33","8,65","2,88",2014, stade rennes
Défense,"24,00","16,80","1,87",2014, stade rennes
Milieu de terrain,"24,00","21,75","2,18",2014, stade rennes
Attaquant,"22,75","18,80","2,35",2014, stade rennes
Total,"23,90","66,00","2,20",2014, stade rennes
Gardien,"25,75","9,40","2,35",2015, stade rennes
Défense,"23,93","19,90","1,42",2015, stade rennes
Milieu de terrain,"22,90","25,35","2,54",2015, stade rennes
Attaquant,"22,90","39,50","3,95",2015, stade rennes
Total,"23,58","94,15","2,48",2015, stade rennes
Gardien,"23,83","10,40","1,73",2016, stade rennes
Défense,"24,36","21,00","1,50",2016, stade rennes
Milieu de terrain,"23,09","15,25","1,39",2016, stade rennes
Attaquant,"24,42","34,25","2,85",2016, stade rennes
Total,"23,98","80,90","1,88",2016, stade rennes
Gardien,"25,25","8,90","2,23",2017, stade rennes
Défense,"23,31","49,55","3,81",2017, stade rennes
Milieu de terrain,"22,56","32,50","3,61",2017, stade rennes
Attaquant,"23,33","40,30","4,48",2017, stade rennes
Total,"23,34","131,25","3,75",2017, stade rennes
Gardien,"23,25","8,10","2,03",2018, stade rennes
Défense,"24,00","44,60","3,19",2018, stade rennes
Milieu de terrain,"23,30","52,55","5,26",2018, stade rennes
Attaquant,"20,92","63,20","4,86",2018, stade rennes
Total,"22,78","168,45","4,11",2018, stade rennes
Gardien,"24,17","11,18","1,86",2019, stade rennes
Défense,"24,33","31,15","3,46",2019, stade rennes
Milieu de terrain,"25,11","82,30","9,14",2019, stade rennes
Attaquant,"22,44","47,25","5,25",2019, stade rennes
Total,"24,00","171,88","5,21",2019, stade rennes
Gardien,"26,50","33,00","8,25",2020, stade rennes
Défense,"22,64","70,70","5,05",2020, stade rennes
Milieu de terrain,"25,00","93,80","11,73",2020, stade rennes
Attaquant,"21,27","100,00","9,09",2020, stade rennes
Total,"23,16","297,50","8,04",2020, stade rennes
Gardien,"24,75","5,35","1,34",2014,montpellier hsc
Défense,"25,33","10,30","1,14",2014,montpellier hsc
Milieu de terrain,"22,42","21,15","1,76",2014,montpellier hsc
Attaquant,"25,00","15,15","1,38",2014,montpellier hsc
Total,"24,19","51,95","1,44",2014,montpellier hsc
Gardien,"25,75","4,05","1,01",2015,montpellier hsc
Défense,"25,00","9,45","1,18",2015,montpellier hsc
Milieu de terrain,"24,30","18,05","1,81",2015,montpellier hsc
Attaquant,"25,00","12,85","1,29",2015,montpellier hsc
Total,"24,88","44,40","1,39",2015,montpellier hsc
Gardien,"26,75","3,10",775 K €,2016,montpellier hsc
Défense,"24,31","13,35","1,03",2016,montpellier hsc
Milieu de terrain,"25,30","30,80","3,08",2016,montpellier hsc
Attaquant,"23,00","13,70","1,71",2016,montpellier hsc
Total,"24,57","60,95","1,74",2016,montpellier hsc
Gardien,"26,67","6,65","2,22",2017,montpellier hsc
Défense,"24,08","38,50","3,21",2017,montpellier hsc
Milieu de terrain,"24,67","14,85","2,48",2017,montpellier hsc
Attaquant,"24,00","11,85","1,32",2017,montpellier hsc
Total,"24,43","71,85","2,40",2017,montpellier hsc
Gardien,"24,67","17,80","5,93",2018,montpellier hsc
Défense,"25,40","29,50","2,95",2018,montpellier hsc
Milieu de terrain,"23,89","29,60","3,29",2018,montpellier hsc
Attaquant,"24,70","32,95","3,30",2018,montpellier hsc
Total,"24,69","109,85","3,43",2018,montpellier hsc
Gardien,"22,67","9,05","3,02",2019,montpellier hsc
Défense,"26,89","19,95","2,22",2019,montpellier hsc
Milieu de terrain,"23,80","30,68","3,07",2019,montpellier hsc
Attaquant,"26,13","22,00","2,75",2019,montpellier hsc
Total,"25,23","81,68","2,72",2019,montpellier hsc
Gardien,"23,00","9,20","3,07",2020,montpellier hsc
Défense,"26,18","23,30","2,12",2020,montpellier hsc
Milieu de terrain,"23,78","34,00","3,78",2020,montpellier hsc
Attaquant,"23,00","47,35","4,30",2020,montpellier hsc
Total,"24,24","113,85","3,35",2020,montpellier hsc
Gardien,"24,00","3,25","1,08",2014, girondins bordeaux
Défense,"24,08","22,55","1,88",2014, girondins bordeaux
Milieu de terrain,"23,00","19,40","1,39",2014, girondins bordeaux
Attaquant,"20,80","26,30","2,63",2014, girondins bordeaux
Total,"22,85","71,50","1,83",2014, girondins bordeaux
Gardien,"21,60","4,25",850 K €,2015, girondins bordeaux
Défense,"22,29","25,80","1,84",2015, girondins bordeaux
Milieu de terrain,"25,00","22,05","2,00",2015, girondins bordeaux
Attaquant,"20,67","38,60","3,22",2015, girondins bordeaux
Total,"22,45","90,70","2,16",2015, girondins bordeaux
Gardien,"24,33","3,30","1,10",2016, girondins bordeaux
Défense,"24,00","21,85","1,99",2016, girondins bordeaux
Milieu de terrain,"25,00","17,75","1,61",2016, girondins bordeaux
Attaquant,"21,45","46,00","4,18",2016, girondins bordeaux
Total,"23,56","88,90","2,47",2016, girondins bordeaux
Gardien,"21,50","9,25","2,31",2017, girondins bordeaux
Défense,"23,67","33,40","2,78",2017, girondins bordeaux
Milieu de terrain,"23,55","33,80","3,07",2017, girondins bordeaux
Attaquant,"22,50","79,00","7,90",2017, girondins bordeaux
Total,"23,08","155,45","4,20",2017, girondins bordeaux
Gardien,"22,20","16,00","3,20",2018, girondins bordeaux
Défense,"23,20","57,15","3,81",2018, girondins bordeaux
Milieu de terrain,"22,09","44,25","4,02",2018, girondins bordeaux
Attaquant,"23,33","61,60","5,13",2018, girondins bordeaux
Total,"22,84","179,00","4,16",2018, girondins bordeaux
Gardien,"23,33","4,90","1,63",2019, girondins bordeaux
Défense,"26,50","36,10","3,61",2019, girondins bordeaux
Milieu de terrain,"21,13","43,45","5,43",2019, girondins bordeaux
Attaquant,"24,10","40,90","4,09",2019, girondins bordeaux
Total,"24,03","125,35","4,04",2019, girondins bordeaux
Gardien,"26,50","3,80","1,90",2020, girondins bordeaux
Défense,"26,25","31,30","2,61",2020, girondins bordeaux
Milieu de terrain,"23,90","36,00","3,60",2020, girondins bordeaux
Attaquant,"22,67","34,60","2,88",2020, girondins bordeaux
Total,"24,42","105,70","2,94",2020, girondins bordeaux
Gardien,"23,67","3,55","1,18",2014,ea guingamp
Défense,"26,90","10,90","1,09",2014,ea guingamp
Milieu de terrain,"27,22","9,35","1,04",2014,ea guingamp
Attaquant,"24,00","12,45","1,38",2014,ea guingamp
Total,"25,84","36,25","1,17",2014,ea guingamp
Gardien,"23,33","3,45","1,15",2015,ea guingamp
Défense,"27,64","9,40",855 K €,2015,ea guingamp
Milieu de terrain,"26,86","6,10",871 K €,2015,ea guingamp
Attaquant,"24,00","14,60","1,46",2015,ea guingamp
Total,"25,87","33,55","1,08",2015,ea guingamp
Gardien,"26,25","3,95",988 K €,2016,ea guingamp
Défense,"27,00","11,50","1,15",2016,ea guingamp
Milieu de terrain,"24,91","9,75",886 K €,2016,ea guingamp
Attaquant,"23,40","17,30","1,73",2016,ea guingamp
Total,"25,23","42,50","1,21",2016,ea guingamp
Gardien,"24,50","3,90",975 K €,2017,ea guingamp
Défense,"27,13","13,50","1,69",2017,ea guingamp
Milieu de terrain,"26,50","15,25","1,91",2017,ea guingamp
Attaquant,"24,30","19,25","1,93",2017,ea guingamp
